"STATE","DAMAGE_HEAT","DEATH_HEAT","INJURIES_HEAT","COUNT_HEAT","DAMAGE_TROPICAL","DEATH_TROPICAL","INJURIES_TROPICAL","COUNT_TROPICAL","DAMAGE_FIRE","DEATH_FIRE","INJURIES_FIRE","COUNT_FIRE","DAMAGE_HURRICANE","DEATH_HURRICANE","INJURIES_HURRICANE","COUNT_HURRICANE","TOTAL_DAMAGE","TOTAL_DEATHS","TOTAL_INJURIES","TOTAL_COUNTS"
"ALABAMA",0,0,34,32,52915000,0,11,174,103000,0,1,10,0,0,0,0,53018000,0,46,216
"ALASKA",0,0,0,0,0,0,0,0,17340000,0,19,46,0,0,0,0,17340000,0,19,46
"AMERICAN SAMOA",0,0,0,1,5e+06,0,0,8,0,0,0,0,0,0,0,6,5e+06,0,0,15
"ARIZONA",25000,20,101,104,0,0,0,1,231589000,19,41,174,0,0,0,0,231614000,39,142,279
"ARKANSAS",0,6,1,330,34692000,1,4,110,8620000,0,12,175,0,0,0,0,43312000,7,17,615
"CALIFORNIA",0,40,10,107,0,0,0,10,4978544830,62,1344,1102,0,0,0,0,4978544830,102,1354,1219
"COLORADO",0,0,0,0,0,0,0,0,1428740000,8,19,347,0,0,0,0,1428740000,8,19,347
"CONNECTICUT",0,0,0,29,60032000,1,2,18,0,0,0,1,0,0,0,0,60032000,1,2,48
"DELAWARE",0,1,26,66,17750000,0,0,14,5000,0,2,17,0,0,0,0,17755000,1,28,97
"DISTRICT OF COLUMBIA",0,0,0,6,127600000,0,0,3,0,0,0,0,0,0,0,0,127600000,0,0,9
"FLORIDA",0,0,8,5,2857731200,31,81,702,428324000,13,153,384,0,0,0,0,3286055200,44,242,1091
"GEORGIA",0,4,0,318,32594250,3,4,1403,46673340,0,12,189,0,0,0,43,79267590,7,16,1953
"GUAM",0,0,0,0,27850000,11,0,50,250000,0,1,6,20350000,0,0,6,48450000,11,1,62
"HAWAII",0,0,0,0,0,0,0,9,1245200,0,13,229,0,0,0,0,1245200,0,13,238
"IDAHO",0,0,0,0,0,0,0,0,495212000,4,5,277,0,0,0,0,495212000,4,5,277
"ILLINOIS",750000,59,21,706,0,0,0,0,4280000,0,5,15,0,0,0,0,5030000,59,26,721
"INDIANA",0,4,16,75,0,0,0,0,0,0,0,2,0,0,0,0,0,4,16,77
"IOWA",7156700,0,28,240,0,0,0,0,1115000,0,4,16,0,0,0,0,8271700,0,32,256
"KANSAS",348000,7,6,312,0,0,0,0,68280000,0,5,35,0,0,0,0,68628000,7,11,347
"KENTUCKY",0,2,52,327,0,0,0,0,25000,2,21,45,0,0,0,0,25000,4,73,372
"LOUISIANA",90000,16,1,111,328262000,4,18,353,2101000,0,4,19,936348000,5,0,72,1266801000,25,23,555
"MAINE",0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,36
"MARYLAND",0,8,2,145,548211000,2,200,71,0,0,3,20,0,0,0,0,548211000,10,205,236
"MASSACHUSETTS",0,0,0,24,34772000,0,0,28,0,0,1,6,0,0,0,0,34772000,0,1,58
"MICHIGAN",0,3,0,34,0,0,0,0,19476000,0,4,24,0,0,0,0,19476000,3,4,58
"MINNESOTA",1198500,4,244,197,0,0,0,0,4127500,0,3,14,0,0,0,0,5326000,4,247,211
"MISSISSIPPI",0,9,1,239,63636000,2,2,181,0,0,0,1,19390000,0,0,8,83026000,11,3,429
"MISSOURI",4e+05,65,2760,880,3e+05,0,2,2,3207000,0,6,72,0,0,0,0,3907000,65,2768,954
"MONTANA",0,0,0,0,0,0,0,0,22265500,1,35,167,0,0,0,0,22265500,1,35,167
"NEBRASKA",0,0,0,117,0,0,0,0,13062000,0,18,32,0,0,0,0,13062000,0,18,149
"NEVADA",25000,169,591,27,0,0,0,0,45015500,2,21,25,0,0,0,0,45040500,171,612,52
"NEW HAMPSHIRE",0,0,0,1,25000,1,2,15,0,0,0,0,0,0,0,0,25000,1,2,16
"NEW JERSEY",0,4,420,334,39600000,1,2,72,1576000,0,21,172,0,0,0,0,41176000,5,443,578
"NEW MEXICO",0,0,0,44,0,0,0,0,1592805500,1,29,72,0,0,0,0,1592805500,1,29,116
"NEW YORK",0,40,0,131,70500,4,1,60,102000,0,2,30,0,0,0,0,172500,44,3,221
"NORTH CAROLINA",0,0,0,12,191329400,8,2,327,2857500,0,0,32,97670000,1,1,16,291856900,9,3,387
"NORTH DAKOTA",7e+05,0,0,55,0,0,0,0,6010000,0,8,34,0,0,0,0,6710000,0,8,89
"OHIO",0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
"OKLAHOMA",0,14,847,439,25000,0,0,1,88777000,9,33,252,0,0,0,0,88802000,23,880,692
"OREGON",0,6,3,22,0,0,0,0,19239000,1,9,476,0,0,0,0,19239000,7,12,498
"PENNSYLVANIA",35000,99,105,219,3685000,1,0,45,1418500,1,9,76,0,0,0,0,5138500,101,114,340
"PUERTO RICO",0,0,0,0,73629000,4,1,75,6610000,0,0,45,0,0,0,0,80239000,4,1,120
"RHODE ISLAND",0,0,0,9,263000,0,0,10,0,0,0,0,0,0,0,0,263000,0,0,19
"SOUTH CAROLINA",0,2,0,47,33268000,4,1,181,55575000,0,1,16,0,0,0,0,88843000,6,2,244
"SOUTH DAKOTA",30000,0,10,235,0,0,0,0,55000,1,2,57,0,0,0,0,85000,1,12,292
"TENNESSEE",1e+05,20,29,190,545000,0,0,44,170000,0,0,2,0,0,0,0,815000,20,29,236
"TEXAS",2e+05,34,214,168,6173801000,26,5,180,657693200,35,178,1052,5863100000,25,2425,28,12694794200,120,2822,1428
"UTAH",0,0,0,0,0,0,0,0,30280000,11,39,84,0,0,0,0,30280000,11,39,84
"VERMONT",0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,7
"VIRGIN ISLANDS",0,0,0,0,6250000,0,0,22,222000,0,0,19,0,0,0,1,6472000,0,0,42
"VIRGINIA",0,1,0,130,127041500,7,30,149,9789000,0,4,39,0,0,0,0,136830500,8,34,318
"WASHINGTON",0,6,2,21,0,0,0,0,291157500,5,15,342,0,0,0,0,291157500,11,17,363
"WEST VIRGINIA",0,0,0,300,0,0,0,0,73000,2,1,31,0,0,0,0,73000,2,1,331
"WISCONSIN",76000,16,48,101,0,0,0,0,2015000,2,6,21,0,0,0,0,2091000,18,54,122
"WYOMING",0,0,0,0,0,0,0,0,14906000,1,17,117,0,0,0,0,14906000,1,17,117
