"YEAR","DAMAGE_TROPICAL","DEATH_TROPICAL","INJURIES_TROPICAL","COUNT_TROPICAL","DAMAGE_FIRE","DEATH_FIRE","INJURIES_FIRE","COUNT_FIRE","DAMAGE_HEAT","DEATH_HEAT","INJURIES_HEAT","COUNT_HEAT","DAMAGE_HURRICANE","DEATH_HURRICANE","INJURIES_HURRICANE","COUNT_HURRICANE","TOTAL_DAMAGE","TOTAL_DEATHS","TOTAL_INJURIES","TOTAL_COUNTS"
1996,46295000,1,3,116,73900000,0,33,62,0,0,0,0,0,0,0,0,120195000,1,36,178
1997,0,0,0,12,33075000,1,7,37,0,0,0,0,0,0,0,0,33075000,1,7,49
1998,377695000,5,68,144,398502000,0,92,113,0,0,0,0,0,0,0,0,776197000,5,160,257
1999,23545000,1,0,54,141010500,2,127,298,0,0,0,0,0,0,0,0,164555500,3,127,352
2000,660000,0,0,44,2109242200,3,100,372,0,0,2,378,0,0,0,0,2109902200,3,102,794
2001,5185668000,23,6,103,45172800,5,48,244,0,0,0,100,0,0,0,0,5230840800,28,54,447
2002,187298000,1,4,234,200827000,1,138,411,0,0,0,243,0,0,0,0,388125000,2,142,888
2003,837143000,8,230,280,2331612330,24,251,312,0,0,0,0,0,0,0,0,3168755330,32,481,592
2004,499925000,11,1,614,16932700,0,63,166,0,0,0,0,0,0,0,0,516857700,11,64,780
2005,220180000,0,11,637,40654500,6,82,221,0,0,0,0,0,0,0,0,260834500,6,93,858
2006,1655200,0,1,148,189407000,20,95,419,0,0,0,0,0,0,0,0,191062200,20,96,567
2007,396000,0,1,32,1370093700,19,232,274,0,58,1188,488,38400000,1,12,49,1408889700,78,1433,843
2008,933162750,17,27,589,236589100,8,185,333,0,48,215,147,6663097500,29,2413,72,7832849350,102,2840,1141
2009,821000,2,0,130,110824600,4,120,245,0,17,147,146,0,0,0,0,111645600,23,267,521
2010,14873200,0,0,41,244889670,2,30,231,430000,74,494,1240,0,0,0,2,260192870,76,524,1514
2011,246866200,13,5,466,667217400,12,160,856,9894200,131,1594,1698,9.7e+07,1,1,16,1020977800,157,1760,3036
2012,14931000,4,2,190,1460087300,23,137,481,760000,97,638,1156,127340500,0,0,33,1603118800,124,777,1860
2013,58000,1,0,95,355809300,21,60,210,50000,61,857,208,10050000,0,0,2,365967300,83,917,515
2014,2515000,0,0,31,323811460,5,66,269,0,7,34,83,970000,0,0,6,327296460,12,100,389
2015,9402000,9,0,49,22897000,10,35,284,0,18,166,325,0,0,0,0,32299000,37,201,658
2016,2237623500,15,7,319,181501010,6,42,347,0,82,173,555,0,0,0,0,2419124510,103,222,1221
